1535752394,s1-eth2,26664.00,1223900.00,1250564.00,1223900,26664,404.00,422.00,826.00,422,404,0.00,0.00,0,0
1535752394,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752394,s1-eth1,1223900.00,26664.00,1250564.00,26664,1223900,422.00,404.00,826.00,404,422,0.00,0.00,0,0
1535752394,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752394,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752394,total,1250564.00,1250564.00,2501128.00,1250564,1250564,826.00,826.00,1652.00,826,826,0.00,0.00,0,0
1535752395,s1-eth2,26598.00,1223900.00,1250498.00,1223900,26598,403.00,422.00,825.00,422,403,0.00,0.00,0,0
1535752395,lo,172.00,172.00,344.00,172,172,3.00,3.00,6.00,3,3,0.00,0.00,0,0
1535752395,s1-eth1,1223900.00,26664.00,1250564.00,26664,1223900,422.00,404.00,826.00,404,422,0.00,0.00,0,0
1535752395,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752395,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752395,total,1250670.00,1250736.00,2501406.00,1250736,1250670,828.00,829.00,1657.00,829,828,0.00,0.00,0,0
1535752396,s1-eth2,26664.00,1225414.00,1252078.00,1225414,26664,404.00,423.00,827.00,423,404,0.00,0.00,0,0
1535752396,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752396,s1-eth1,1222452.00,26598.00,1249050.00,26598,1222452,422.00,403.00,825.00,403,422,0.00,0.00,0,0
1535752396,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752396,eth0,180.00,180.00,360.00,180,180,2.00,2.00,4.00,2,2,0.00,0.00,0,0
1535752396,total,1249296.00,1252192.00,2501488.00,1252192,1249296,828.00,828.00,1656.00,828,828,0.00,0.00,0,0
1535752397,s1-eth2,26598.00,1220938.00,1247536.00,1220938,26598,403.00,421.00,824.00,421,403,0.00,0.00,0,0
1535752397,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752397,s1-eth1,1220938.00,26664.00,1247602.00,26664,1220938,421.00,404.00,825.00,404,421,0.00,0.00,0,0
1535752397,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752397,eth0,180.00,180.00,360.00,180,180,2.00,2.00,4.00,2,2,0.00,0.00,0,0
1535752397,total,1247716.00,1247782.00,2495498.00,1247782,1247716,826.00,827.00,1653.00,827,826,0.00,0.00,0,0
1535752398,s1-eth2,26664.00,1223900.00,1250564.00,1223900,26664,404.00,422.00,826.00,422,404,0.00,0.00,0,0
1535752398,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752398,s1-eth1,1223900.00,26598.00,1250498.00,26598,1223900,422.00,403.00,825.00,403,422,0.00,0.00,0,0
1535752398,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752398,eth0,270.00,270.00,540.00,270,270,3.00,3.00,6.00,3,3,0.00,0.00,0,0
1535752398,total,1250834.00,1250768.00,2501602.00,1250768,1250834,829.00,828.00,1657.00,828,829,0.00,0.00,0,0
1535752399,s1-eth2,25608.00,1225748.00,1251356.00,1225748,25608,388.00,450.00,838.00,450,388,0.00,0.00,0,0
1535752399,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752399,s1-eth1,1225748.00,25674.00,1251422.00,25674,1225748,450.00,389.00,839.00,389,450,0.00,0.00,0,0
1535752399,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535752399,eth0,90.00,90.00,180.00,90,90,1.00,1.00,2.00,1,1,0.00,0.00,0,0
1535752399,total,1251446.00,1251512.00,2502958.00,1251512,1251446,839.00,840.00,1679.00,840,839,0.00,0.00,0,0
1535752400,s1-eth2,26730.00,1225348.00,1252078.00,1225348,26730,405.00,422.00,827.00,422,405,0.00,0.00,0,0
1535752400,lo,172.00,172.00,344.00,172,172,3.00,3.00,6.00,3,3,0.00,0.00,0,0
1535752400,s1-eth1,1225348.00,26664.00,1252012.00,26664,1225348,422.00,404.00,826.00,404,422,0.00,0.00,0,0
1535752400,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
